9 4 3 9 
9 0 0 0 0 
9 0 1 1 0 
9 0 2 2 0 
9 0 3 3 0 
9 0 4 4 0 
9 0 5 5 0 
9 0 6 6 0 
9 0 7 7 0 
9 0 8 8 0 
9 0 9 0 -1 
9 0 10 1 -1 
9 0 11 2 -1 
9 0 12 3 -1 
9 0 13 4 -1 
9 0 14 5 -1 
9 0 15 6 -1 
9 0 16 7 -1 
9 0 17 8 -1 
9 0 18 0 -2 
9 0 19 1 -2 
9 0 20 2 -2 
9 0 21 3 -2 
9 0 22 4 -2 
9 0 23 5 -2 
9 0 24 6 -2 
9 0 25 7 -2 
9 0 26 8 -2 
9 0 27 0 -3 
9 0 28 1 -3 
9 0 29 2 -3 
9 0 30 3 -3 
9 0 31 4 -3 
9 0 32 5 -3 
9 0 33 6 -3 
9 0 34 7 -3 
9 0 35 8 -3 
9 0 36 0 -4 
9 0 37 1 -4 
9 0 38 2 -4 
9 0 39 3 -4 
9 0 40 4 -4 
9 0 41 5 -4 
9 0 42 6 -4 
9 0 43 7 -4 
9 0 44 8 -4 
9 0 45 0 -5 
9 0 46 1 -5 
9 0 47 2 -5 
9 0 48 3 -5 
9 0 49 4 -5 
9 0 50 5 -5 
9 0 51 6 -5 
9 0 52 7 -5 
9 0 53 8 -5 
9 0 54 0 -6 
9 0 55 1 -6 
9 0 56 2 -6 
9 0 57 3 -6 
9 0 58 4 -6 
9 0 59 5 -6 
9 0 60 6 -6 
9 0 61 7 -6 
9 0 62 8 -6 
9 0 63 0 -7 
9 0 64 1 -7 
9 0 65 2 -7 
9 0 66 3 -7 
9 0 67 4 -7 
9 0 68 5 -7 
9 0 69 6 -7 
9 0 70 7 -7 
9 0 71 8 -7 
9 0 72 0 -8 
9 0 73 1 -8 
9 0 74 2 -8 
9 0 75 3 -8 
9 0 76 4 -8 
9 0 77 5 -8 
9 0 78 6 -8 
9 0 79 7 -8 
9 0 80 8 -8 
