8 5 6 1 
6 0 1 0 0 
20 0 2 1 0 
20 0 3 2 0 
1 0 4 3 0 
1 0 5 4 0 
7 0 6 5 0 
7 0 7 6 0 
1 0 8 7 0 
1 0 9 0 -1 
30 0 10 1 -1 
30 0 11 2 -1 
1 0 12 3 -1 
7 0 13 4 -1 
7 0 14 5 -1 
20 0 15 6 -1 
1 0 16 7 -1 
1 0 17 0 -2 
1 0 18 1 -2 
1 0 19 2 -2 
1 0 20 3 -2 
7 0 21 4 -2 
7 0 22 5 -2 
20 0 23 6 -2 
1 0 24 7 -2 
1 0 25 0 -3 
1 0 26 1 -3 
1 0 27 2 -3 
1 0 28 3 -3 
1 0 29 4 -3 
1 0 30 5 -3 
1 0 31 6 -3 
1 0 32 7 -3 
1 0 33 0 -4 
1 0 34 1 -4 
1 0 35 2 -4 
1 0 36 3 -4 
60 0 37 4 -4 
30 0 38 5 -4 
1 0 39 6 -4 
1 0 40 7 -4 
1 0 41 0 -5 
1 0 42 1 -5 
1 0 43 2 -5 
1 0 44 3 -5 
1 0 45 4 -5 
1 0 46 5 -5 
1 0 47 6 -5 
1 0 48 7 -5 
6 0 49 0 -6 
1 0 50 1 -6 
1 0 51 2 -6 
1 0 52 3 -6 
1 0 53 4 -6 
1 0 54 5 -6 
1 0 55 6 -6 
6 0 56 7 -6 
6 0 57 0 -7 
6 0 58 1 -7 
1 0 59 2 -7 
6 0 60 3 -7 
6 0 61 4 -7 
1 0 62 5 -7 
1 0 63 6 -7 
6 0 64 7 -7 
