9 4 3 1 
1 0 0 0 0 
1 0 1 1 0 
1 0 2 2 0 
1 0 3 3 0 
1 0 4 4 0 
1 0 5 5 0 
1 0 6 6 0 
1 0 7 7 0 
1 0 8 8 0 
1 0 9 0 -1 
1 0 10 1 -1 
1 0 11 2 -1 
1 0 12 3 -1 
1 0 13 4 -1 
1 0 14 5 -1 
1 0 15 6 -1 
1 0 16 7 -1 
1 0 17 8 -1 
1 0 18 0 -2 
1 0 19 1 -2 
1 0 20 2 -2 
1 0 21 3 -2 
1 0 22 4 -2 
1 0 23 5 -2 
1 0 24 6 -2 
1 0 25 7 -2 
1 0 26 8 -2 
1 0 27 0 -3 
1 0 28 1 -3 
1 0 29 2 -3 
1 0 30 3 -3 
1 0 31 4 -3 
1 0 32 5 -3 
1 0 33 6 -3 
1 0 34 7 -3 
1 0 35 8 -3 
1 0 36 0 -4 
1 0 37 1 -4 
1 0 38 2 -4 
1 0 39 3 -4 
1 0 40 4 -4 
1 0 41 5 -4 
1 0 42 6 -4 
1 0 43 7 -4 
1 0 44 8 -4 
1 0 45 0 -5 
1 0 46 1 -5 
1 0 47 2 -5 
1 0 48 3 -5 
1 0 49 4 -5 
1 0 50 5 -5 
1 0 51 6 -5 
1 0 52 7 -5 
1 0 53 8 -5 
1 0 54 0 -6 
1 0 55 1 -6 
1 0 56 2 -6 
1 0 57 3 -6 
1 0 58 4 -6 
1 0 59 5 -6 
1 0 60 6 -6 
1 0 61 7 -6 
1 0 62 8 -6 
1 0 63 0 -7 
1 0 64 1 -7 
1 0 65 2 -7 
1 0 66 3 -7 
1 0 67 4 -7 
1 0 68 5 -7 
1 0 69 6 -7 
1 0 70 7 -7 
1 0 71 8 -7 
1 0 72 0 -8 
1 0 73 1 -8 
1 0 74 2 -8 
1 0 75 3 -8 
1 0 76 4 -8 
1 0 77 5 -8 
1 0 78 6 -8 
1 0 79 7 -8 
1 0 80 8 -8 
